"ID" "(Intercept)_forced" "(Intercept)_free" "R_forced" "R_free" "avgR_forced" "avgR_free" "avgRmax_forced" "avgRmax_free"
1 -6.96372276015625 -3.90109757605718 -6.50798804307334 -3.27040621990872 -0.484211920211661 -1.28465343226091 0.864435925712542 1.49645870022254
2 -4.15145351512151 -5.02819546299954 -4.29778710866811 -6.86910057737304 -1.7221605774898 1.39033973203128 0.63189901943004 1.2613643736106
3 -6.20869729854095 -4.22095000131435 -7.0214268967053 -6.43684394002106 1.0230134303884 3.49733869793643 -0.477887760412293 0.735148881590068
4 -2.09920118605371 -3.47014543367206 -1.85154679100415 -3.39838820919235 -0.360699364017977 0.821301174339801 -0.736807492753834 1.20465600903931
5 -2.42840970482703 -1.33777334319513 -8.90391544838524 -6.87276475673418 4.93791237449625 4.37978936489198 3.59394654692808 1.86958237764496
6 -5.72527224254805 -4.58407092811876 -5.34864277251934 -4.82865767890466 -0.506787460527543 1.58292318243001 0.865234250540245 -1.25856049643809
7 -1.90655579654034 -2.6052090720278 -1.03712350107834 -1.4347885273573 0.267054034978798 -1.26427896324748 0.847602830796106 -0.411320305066068
8 -3.75738507812817 -3.43668471666523 -3.28806729601536 -2.82666419924832 -0.224289659665603 -0.304517326907507 -0.583133909559227 1.45720428791315
9 -4.64623482934542 -3.9553870578454 -5.30887455863159 -4.78107048207749 0.117387669720768 0.973900308104874 0.649569346203726 0.816394091559246
10 -1.09371762574862 0.137579870132353 -5.60421079510784 -3.928269444691 3.42823061406618 -1.23363745087804 2.42360831825472 0.0594359395407192
11 -5.60166491788268 -5.38966599254758 -4.81860967182089 -2.38270999787747 -0.167715447371528 -2.10494184361818 -0.709099902281226 0.92019279517387
13 -4.76448836664807 -2.70209205949853 -5.9132276323232 -1.90168032879153 2.32483671064679 0.475678540239628 0.325063959844472 -1.49880475316941
14 -9.32487034121855 -14.7256871498574 -7.93315544450249 -11.3451868367027 1.16355376144001 0.421853595666561 1.42013714107059 -0.52527616083489
15 -4.09749537722295 -5.86258648644585 -7.35215154228362 -9.53465430057661 4.13064330593528 5.64771626198291 1.14600611962749 0.712209184971774
16 -5.10808982149818 -4.93007164107115 -10.0011760713417 -3.17839400797012 5.60419931949272 -1.29425642524471 -0.387112095740164 2.93190810144528
17 -4.02509966337486 -5.33733224567163 -4.10224984883463 -5.01616086647145 2.21045801583805 1.68897625774899 0.339979147125604 1.39822038094167
18 -2.81239391700225 -3.17572926809766 -4.01613478482742 -6.31028729258532 1.37031471225823 3.81077367279989 1.14677064787046 1.45677300954366
19 -1.49667657622678 -2.05439567741609 -1.85699612783229 -2.92164734585499 0.369248358511986 0.858378453025336 1.03867140085368 0.362126360273747
20 -4.29311548925053 -6.01810393934131 -3.40975523035796 -6.19918631347561 -0.338220930490765 -1.6797642323896 1.39896763640714 -0.756447069636675
21 -7.29352437368271 -10.470843171552 -13.9903592977994 -3.62909075526148 7.05281091227873 -5.65851521801809 1.13139119161659 -1.05873209565517
22 -3.34747696843631 -2.5675917374504 -4.73212806100367 -2.33613086146887 2.60834311595559 0.461183872984221 0.75393122576203 -1.58775468127049
23 -3.80731605383327 -2.17623900844006 1.3479455652946 -2.02206752115152 -5.40047448653193 -1.93304227327654 4.67212482580324 2.94622966629023
24 -5.93404548009144 -5.04077163387538 -5.70680580559541 -5.59077312277528 1.27426919465746 0.066138479977554 1.77041143825543 4.07061676265322
25 -4.82447754664125 -3.63029061078913 -5.56254942331856 -3.61400234888877 1.20040922880208 -0.880273984584083 0.378752144639291 -0.820100777826091
26 -5.77397520397073 -3.41283356579194 -5.15898403889896 -2.71837806546546 1.60430113238556 0.32303804734095 -1.34087178351424 1.06536675389069
27 -0.158952807405134 0.52182238967487 -10.7275985426953 -6.73019776239051 7.76988803935845 -0.0125004834333893 2.64856816029077 -2.26012964295556
28 -4.27128327029964 -4.46591416606298 -3.21570130070917 -3.25431369795977 0.438563297055691 0.204395186809936 0.100455537862568 0.565522082190423
29 -2.86543212598193 -3.13862849457495 -3.26294261172963 -2.5441024631753 2.25645706969866 -1.46610346207466 0.629096685575919 -0.291574456855797
30 -5.62490102252167 -2.71309363073436 -6.48461947334601 -2.55715631039029 1.79814222693382 0.58365596687328 2.80178391362383 1.2287959243249
31 -8.22180699095823 -3.60721329159105 -8.54703940316692 -3.01429520641524 1.43116335175429 0.161402004321148 -0.875938402303634 1.2743924017423
32 -1.60764088370148 -1.46882938462561 -1.52465190925601 -1.90827356260907 0.124827025735703 -0.987035766631528 0.881548625625869 1.61008171093085
34 -6.0240132943299 -6.87178061886825 -4.72527050897176 -5.19600402700145 0.570389567087276 -1.43163345413773 -0.305244901300225 1.52261544269897
35 -7.76872820661034 -4.37241358542363 -6.80454787203868 -1.49738855597013 0.828167621856757 -1.99506110757674 -0.907936313250823 0.867137401271303
36 -3.88314914649373 -4.62610755880608 -3.3320849015357 -4.70633877446274 -0.0378469101825165 -1.31647870057236 1.69503706826635 -0.540835339648855
37 -3.8743165662007 -8.43804207408001 -7.68561028189514 -5.66138486902249 4.06204988523738 -2.59821501965482 1.25979182232362 2.10955059897253
38 -2.37390804005245 -2.65306377484399 -3.41674212629921 -4.9712140869857 1.21710114210187 2.20322337213101 1.36450705375673 1.42430856130723
39 -2.58506612388899 -2.48024428188981 -4.01127407200567 -5.31190608864937 1.6331435041918 3.78735065433233 0.0165621532900283 -0.0103258346543885
40 -4.70189129027424 -6.04285736077072 -3.22189707382488 -4.77021975896826 -1.71729949008762 -0.229320968330251 1.23644449064021 1.28108020179253
41 -6.04797914728785 -11.2686511727578 -4.84651177972969 -9.11097566544658 -0.0524672775610422 0.695291160539775 1.33659756300238 0.192684645399019
42 -3.79370897012175 0.00937503383147883 -8.29580170272587 -4.73687875250105 1.27242023948901 2.61246156993402 7.91395096434436 2.67685912156387
45 -3.46242732427016 -3.920377201073 -3.72403016125156 -4.76449922059213 -0.359318781483885 0.919639662567732 0.381616718466662 1.04112967879888
46 -4.92544778127597 -2.77400993894581 -6.17921978179592 -9.12730445744043 2.51829141310681 6.67771873614773 2.08177509046768 2.28369076363904
47 -1.32809913319268 -0.768378022892081 -2.68220771010661 -4.71229429304733 0.257549133548858 1.28142590145112 0.774993118185739 -1.90865410421346
48 -6.61321388672558 -6.84265110677507 -9.70279459899388 -9.39006349838503 3.71020847885963 4.28153598099103 0.519270284328011 -0.269427771155442
49 -7.61221283678587 -6.6685009495382 -6.70662235670325 -5.22857134914248 1.51770141614303 0.881647815210264 0.256023532842009 -2.07576574086647
51 -2.51418372249909 -2.7583786378153 -9.85675589481246 -0.294898323057806 7.88405610700594 -2.45067533250023 1.54534174901855 1.18190517816446
52 -2.64921408968799 -1.5405990721794 -3.43325270351584 -2.77275147693028 1.28940698880695 1.98807656192461 -0.499148711565207 0.0433482536689777
